txn_id,txn_datetime,store_id,member_id,channel,payment_method,total_amount,discount_amount,campaign_id,is_return
T000052,2025-01-08T15:10:00,S01,,store,credit_card,1502,48,,false
T000053,2025-01-08T17:55:00,S02,M000347,store,mobile_payment,90,0,,false
T000054,2025-01-08T15:09:00,S03,M000547,store,cash,180,0,,false
T000055,2025-01-08T21:18:00,S04,,store,cash,1698,72,,false
T000056,2025-01-08T22:30:00,S99,M000415,online,line_pay,1130,0,,false
T000057,2025-01-08T12:54:00,S99,,online,mobile_payment,1485,165,,false
T000058,2025-01-09T18:22:00,S01,,store,cash,2720,0,,false
T000059,2025-01-09T19:11:00,S01,,store,cash,1522,123,,false
T000060,2025-01-09T12:43:00,S02,,store,mobile_payment,1463,67,,false
T000061,2025-01-09T20:52:00,S03,M000089,store,cash,175,0,,false
T000062,2025-01-09T12:16:00,S03,M000513,store,cash,110,0,,false
T000063,2025-01-09T21:10:00,S04,M000752,store,credit_card,980,0,,false
T000064,2025-01-09T18:38:00,S05,M000846,store,line_pay,420,0,,false
T000065,2025-01-09T17:54:00,S06,M001117,store,credit_card,620,0,,false
T000066,2025-01-09T21:42:00,S99,M001029,online,credit_card,1085,0,,false
T000067,2025-01-10T12:28:00,S01,M001124,store,credit_card,110,0,,false
T000068,2025-01-10T12:05:00,S01,M000858,store,credit_card,415,0,,false
T000069,2025-01-10T18:33:00,S01,M000873,store,line_pay,1310,0,,false
T000070,2025-01-10T12:04:00,S01,,store,credit_card,2810,0,,false
T000071,2025-01-10T21:59:00,S01,,store,cash,2980,0,,false
T000072,2025/01/10 19:48,S03,M001052,store,cash,110,0,,false
T000073,2025-01-10T15:55:00,S03,M000520,store,mobile_payment,175,0,,false
T000074,2025-01-10T20:53:00,S04,M000526,store,line_pay,1459,0,,false
T000075,2025-01-10T19:29:00,S04,,store,credit_card,1420,0,,false
T000076,2025-01-10T17:43:00,S04,,store,credit_card,2099,206,,false
T000077,2025-01-10T20:13:00,S05,,store,cash,1585,0,,false
T000078,2025-01-10T20:53:00,S06,,store,line_pay,1046,24,,false
T000079,2025-01-10T14:31:00,S99,M001186,online,cash,125,0,,false
T000080,2025-01-11T16:15:00,S01,M000884,store,cash,390,0,,false
T000081,2025-01-11T20:08:00,S01,M001181,store,cash,1120,0,,false
T000082,2025-01-11T16:37:00,S02,,store,credit_card,1650,0,,false
T000083,2025-01-11T15:05:00,S03,M000592,store,cash,155,0,,false
T000084,2025-01-11T19:16:00,S04,M000885,store,credit_card,1419,0,,false
T000085,2025-01-11T14:41:00,S04,,store,mobile_payment,1610,0,,false
T000086,2025-01-11T12:45:00,S04,,store,credit_card,1520,0,,false
T000087,2025-01-11T15:21:00,S04,,store,credit_card,2100,0,,false
T000088,2025-01-11T16:56:00,S04,,store,credit_card,1770,0,,false
T000089,2025-01-11T15:19:00,S04,,store,mobile_payment,1786,94,,false
T000090,2025-01-11T15:09:00,S04,,store,cash,2280,0,,false
T000091,2025-01-11T19:30:00,S05,M000036,store,credit_card,95,0,,false
T000092,2025-01-11T12:37:00,S05,,store,credit_card,1765,0,,false
T000093,2025-01-11T16:05:00,S06,,store,line_pay,760,0,,false
T000094,2025-01-11T21:12:00,S99,,online,cash,1215,0,,false
T000095,2025-01-12T17:50:00,S01,,store,credit_card,2035,0,,false
T000096,2025-01-12T20:57:00,S01,,store,line_pay,1490,0,,false
T000097,2025-01-12T14:18:00,S01,,store,credit_card,2220,0,,false
T000098,2025-01-12T15:40:00,S02,M001010,store,credit_card,945,0,,false
T000099,2025-01-12T12:20:00,S03,M000406,store,line_pay,160,0,,false
T000100,2025-01-12T17:52:00,S03,M000913,store,credit_card,110,0,,false
T000101,2025-01-12T20:17:00,S03,,store,credit_card,1830,0,,false
T000102,2025-01-12T17:37:00,S04,,store,credit_card,2715,0,,false
T000103,2025-01-12T14:28:00,S04,,store,credit_card,2460,0,,false
T000104,2025-01-12T12:42:00,S04,,store,credit_card,1367,78,,false
T000105,2025-01-12T12:35:00,S05,M000250,store,cash,1130,0,,false
T000106,2025-01-12T14:08:00,S05,,store,cash,2450,0,,false
T000107,2025-01-12T19:02:00,S05,,store,cash,1515,0,,false
T000108,2025-01-12T12:02:00,S06,,store,credit_card,1868,162,,false
T000109,2025-01-13T19:08:00,S01,M001083,store,cash,95,0,,false
T000110,2025-01-13T15:53:00,S01,M000581,store,cash,405,0,,false
T000111,2025-01-13T12:22:00,S01,M000339,store,credit_card,460,0,,false
T000112,2025-01-13T19:29:00,S03,M001003,store,credit_card,70,0,,false
T000113,2025-01-13T17:49:00,S03,M000547,store,line_pay,70,0,,false
T000114,2025-01-13T19:06:00,S03,M001167,store,cash,160,0,,false
T000115,2025/01/13 18:05,S03,M000717,store,line_pay,130,0,,false
T000116,2025-01-13T19:35:00,S03,,store,credit_card,2310,0,,false
T000117,2025-01-13T12:12:00,S05,M001115,store,cash,755,0,,false
T000118,2025-01-13T14:32:00,S99,M001047,online,line_pay,155,0,,false
T000119,2025-01-14T19:30:00,S01,M000896,store,credit_card,420,0,,false
T000120,2025-01-14T19:28:00,S01,M000547,store,credit_card,1590,0,,false
T000121,2025-01-14T20:48:00,S02,M001048,store,line_pay,1400,0,,false
T000122,2025-01-14T21:16:00,S03,M001106,store,cash,35,0,,false
T000123,2025-01-14T11:53:00,S03,M000610,store,credit_card,70,0,,false
T000124,2025-01-14T19:05:00,S03,M000025,store,line_pay,1325,0,,false
T000125,2025-01-14T12:08:00,S03,,store,line_pay,1225,0,,false
T000126,2025-01-14T18:47:00,S04,,store,line_pay,992,33,,false
T000127,2025-01-14T15:41:00,S06,M000668,store,cash,90,0,,false
T000128,2025-01-15T17:54:00,S01,M001177,store,cash,110,0,,false
T000129,2025-01-15T15:09:00,S01,M000370,store,cash,185,0,,false
T000130,2025-01-15T18:16:00,S01,M000273,store,credit_card,385,0,,false
T000131,2025-01-15T18:03:00,S04,,store,line_pay,1290,0,,false
T000132,2025-01-15T20:47:00,S04,,store,line_pay,1349,71,,false
T000133,2025-01-15T19:00:00,S05,M000051,store,cash,1110,0,,false
T000134,2025-01-15T21:09:00,S05,,store,mobile_payment,1806,94,,false
T000135,2025-01-15T19:18:00,S06,M001176,store,credit_card,160,0,,false
T000136,2025-01-15T22:48:00,S99,M000523,online,credit_card,270,0,,false
T000137,2025-01-15T21:41:00,S99,,online,cash,1341,149,,false
T000138,2025-01-16T19:32:00,S01,,store,credit_card,1811,69,,false
T000139,2025-01-16T11:38:00,S02,M001039,store,credit_card,145,0,,false
T000140,2025-01-16T18:29:00,S02,M000560,store,cash,175,0,,false
T000141,2025-01-16T17:51:00,S02,M000650,store,cash,110,0,,false
T000142,2025-01-16T19:23:00,S02,,store,credit_card,2760,0,,false
T000143,2025-01-16T21:09:00,S03,M000183,store,credit_card,145,0,,false
T000144,2025-01-16T11:01:00,S03,M001032,store,credit_card,175,0,,false
T000145,2025-01-16T12:44:00,S04,,store,cash,2404,56,,false
T000146,2025-01-16T21:28:00,S05,M000286,store,line_pay,875,0,,false
T000147,2025-01-16T18:42:00,S05,M001192,store,credit_card,380,0,,false
T000148,2025-01-16T15:01:00,S05,,store,credit_card,2040,0,,false
T000149,2025-01-17T11:48:00,S01,M001124,store,cash,195,0,,false
T000150,2025-01-17T18:52:00,S01,M000525,store,mobile_payment,515,0,,false
T000151,2025-01-17T21:21:00,S03,M001134,store,credit_card,410,0,,false
T000152,2025-01-17T21:50:00,S03,M000930,store,line_pay,1200,0,,false
T000153,2025-01-17T12:54:00,S03,,store,cash,1930,0,,false
T000154,2025-01-17T19:13:00,S05,M000674,store,line_pay,870,0,,false
T000155,2025-01-17T21:14:00,S05,,store,line_pay,2594,116,,false
T000156,2025-01-18T19:01:00,S01,M000291,store,line_pay,110,0,,false
T000157,2025/01/18 15:54,S01,M000999,store,cash,335,0,,false
T000158,2025-01-18T12:06:00,S01,,store,mobile_payment,2640,0,,false
T000159,2025-01-18T19:49:00,S02,M000362,store,credit_card,1135,0,,false
T000160,2025/01/18 12:42,S03,M000589,store,line_pay,105,0,,false
T000161,2025-01-18T12:53:00,S03,M000592,store,line_pay,90,0,,false
T000162,2025-01-18T11:56:00,S03,M001180,store,cash,1480,0,,false
T000163,2025-01-18T19:24:00,S04,,store,credit_card,945,0,,false
T000164,2025-01-18T11:04:00,S04,,store,mobile_payment,2902,98,,false
T000165,2025-01-18T14:59:00,S05,M000722,store,cash,420,0,,false
T000166,2025-01-18T20:15:00,S06,,store,cash,1840,0,,false
T000167,2025-01-18T14:58:00,S99,M000986,online,credit_card,870,0,,false
T000168,2025-01-19T19:06:00,S01,M000889,store,line_pay,110,0,,false
T000169,2025-01-19T14:45:00,S02,M000921,store,cash,105,0,,false
T000170,2025-01-19T12:45:00,S02,M000507,store,credit_card,925,0,,false
T000171,2025-01-19T20:13:00,S02,,store,mobile_payment,800,0,,false
T000172,2025-01-19T20:44:00,S02,,store,credit_card,1900,0,,false
T000173,2025-01-19T20:45:00,S03,M000138,store,cash,275,0,,false
T000174,2025-01-19T20:41:00,S04,,store,cash,2740,0,,false
T000175,2025-01-19T15:42:00,S05,M000036,store,line_pay,110,0,,false
T000176,2025-01-19T11:07:00,S05,M000554,store,cash,860,0,,false
T000177,2025-01-19T16:43:00,S05,,store,mobile_payment,1615,0,,false
T000178,2025-01-19T14:16:00,S06,M000886,store,cash,375,0,,false
T000179,2025-01-19T14:17:00,S06,M000115,store,credit_card,885,0,,false
T000180,2025-01-19T12:27:00,S99,M000737,online,mobile_payment,95,0,,false
T000181,2025-01-19T21:38:00,S99,M000372,online,cash,155,0,,false
T000182,2025-01-19T20:18:00,S99,M001029,online,line_pay,1060,0,,false
T000183,2025-01-20T17:36:00,S01,M001000,store,credit_card,575,0,,false
T000184,2025-01-20T21:18:00,S02,M000537,store,credit_card,110,0,,false
T000185,2025-01-20T12:17:00,S02,M001006,store,cash,125,0,,false
T000186,2025-01-20T11:40:00,S02,,store,cash,2110,0,,false
T000187,2025-01-20T15:12:00,S03,M000458,store,line_pay,190,0,,false
T000188,2025-01-20T20:48:00,S04,,store,cash,2560,0,,false
T000189,2025-01-20T17:56:00,S04,,store,cash,1505,45,,false
T000190,2025-01-21T21:59:00,S01,M000225,store,cash,310,0,,false
T000191,2025-01-21T20:05:00,S02,M000533,store,cash,100,0,,false
T000192,2025-01-21T18:37:00,S02,M000650,store,cash,95,0,,false
T000193,2025-01-21T17:44:00,S03,M000238,store,credit_card,180,0,,false
T000194,2025-01-21T19:29:00,S03,,store,line_pay,1540,0,,false
T000195,2025-01-21T18:34:00,S04,M000079,store,credit_card,110,0,,false
T000196,2025-01-21T11:49:00,S04,,store,cash,2313,142,,false
T000197,2025-01-21T15:07:00,S05,M000722,store,cash,-90,0,,true
T000198,2025-01-21T20:05:00,S05,,store,mobile_payment,1340,70,,false
T000199,2025-01-21T15:55:00,S06,M001176,store,mobile_payment,170,0,,false
T000200,2025-01-21T19:49:00,S06,M001043,store,cash,770,0,,false
T000201,2025-01-21T21:04:00,S99,M000742,online,cash,1050,0,,false
T000202,2025-01-22T20:01:00,S01,M001074,store,credit_card,415,0,,false
T000203,2025-01-22T17:04:00,S03,M001003,store,cash,110,0,,false
T000204,2025-01-22T15:39:00,S03,M000849,store,cash,70,0,,false
T000205,2025-01-22T20:52:00,S03,M001023,store,line_pay,145,0,,false
T000206,2025-01-22T19:22:00,S03,M000536,store,credit_card,1310,0,,false
T000207,2025-01-22T17:13:00,S03,M001185,store,credit_card,780,0,,false
T000208,2025-01-22T11:23:00,S03,,store,line_pay,1355,0,,false
T000209,2025-01-22T21:41:00,S06,M000845,store,cash,110,0,,false
T000210,2025-01-22T22:30:00,S99,M000362,online,credit_card,1350,0,,false
T000211,2025-01-23T19:38:00,S01,M000898,store,cash,390,0,,false
T000212,2025-01-23T18:39:00,S01,M000873,store,line_pay,1075,0,,false
T000213,2025-01-23T20:46:00,S01,,store,credit_card,1370,0,,false
T000214,2025-01-23T18:00:00,S01,,store,credit_card,2991,79,,false
T000215,2025-01-23T11:40:00,S01,,store,mobile_payment,-850,0,,true
T000216,2025-01-23T20:04:00,S02,,store,credit_card,1000,0,,false
T000217,2025-01-23T20:30:00,S02,,store,cash,1365,0,,false
T000218,2025-01-23T21:07:00,S02,,store,credit_card,1510,0,,false
T000219,2025-01-23T15:15:00,S03,M000183,store,mobile_payment,70,0,,false
T000220,2025-01-23T18:10:00,S03,M000728,store,cash,175,0,,false
T000221,2025-01-23T12:04:00,S03,,store,credit_card,3270,125,,false
T000222,2025-01-23T12:17:00,S04,M001176,store,cash,2475,0,,false
T000223,2025-01-23T12:18:00,S04,,store,cash,1845,0,,false
T000224,2025-01-23T19:04:00,S05,,store,line_pay,2292,198,,false
T000225,2025-01-23T15:26:00,S06,,store,credit_card,1575,0,,false
T000226,2025-01-24T20:53:00,S01,,store,cash,2480,0,,false
T000227,2025-01-24T20:20:00,S03,M000196,store,line_pay,130,0,,false
T000228,2025-01-24T11:13:00,S03,M000487,store,credit_card,70,0,,false
T000229,2025-01-24T20:47:00,S03,M000169,store,cash,195,0,,false
T000230,2025-01-24T18:46:00,S03,,store,cash,824,91,,false
T000231,2025-01-24T17:43:00,S04,M000564,store,credit_card,1480,0,,false
T000232,2025-01-24T12:17:00,S06,,store,credit_card,2283,107,,false
T000233,2025-01-24T15:08:00,S06,,store,cash,1442,33,,false
T000234,2025-01-24T20:28:00,S99,M001047,online,cash,95,0,,false
T000235,2025-01-24T09:49:00,S99,M000331,online,mobile_payment,735,0,,false
T000236,2025-01-24T12:49:00,S99,M000873,online,cash,1423,37,,false
T000237,2025-01-25T15:52:00,S01,M001083,store,credit_card,110,0,,false
T000238,2025-01-25T11:19:00,S01,M000370,store,credit_card,95,0,,false
T000239,2025-01-25T11:20:00,S01,M001189,store,cash,415,0,,false
T000240,2025-01-25T19:37:00,S01,M000896,store,mobile_payment,455,0,,false
T000241,2025-01-25T17:27:00,S01,,store,mobile_payment,1105,0,,false
T000242,2025-01-25T15:12:00,S02,M000507,store,cash,1590,0,,false
T000243,2025-01-25T20:17:00,S04,M000718,store,cash,755,0,,false
T000244,2025-01-25T20:56:00,S04,,store,cash,2345,0,,false
T000245,2025-01-25T17:40:00,S04,,store,credit_card,2125,0,,false
T000246,2025-01-25T16:03:00,S04,,store,mobile_payment,-110,0,,true
T000247,2025-01-25T11:45:00,S05,M000421,store,credit_card,1240,0,,false
T000248,2025-01-25T14:11:00,S05,M000051,store,credit_card,1100,0,,false
T000249,2025-01-25T16:02:00,S05,M000822,store,line_pay,1140,0,,false
T000250,2025-01-25T12:31:00,S06,M001078,store,line_pay,1445,0,,false
T000251,2025-01-25T12:47:00,S99,M000521,online,credit_card,95,0,,false
T000252,2025-01-25T20:56:00,S99,M000882,online,line_pay,730,0,,false
T000253,2025-01-26T16:27:00,S01,M000329,store,cash,345,0,,false
T000254,2025-01-26T14:01:00,S01,,store,cash,1118,62,,false
T000255,2025-01-26T17:15:00,S02,M000560,store,mobile_payment,130,0,,false
T000256,2025-01-26T20:27:00,S02,M001006,store,credit_card,165,0,,false
T000257,2025-01-26T20:07:00,S02,M001165,store,credit_card,1380,0,,false
T000258,2025-01-26T15:05:00,S03,M001052,store,line_pay,70,0,,false
T000259,2025-01-26T20:54:00,S03,M000308,store,credit_card,185,0,,false
T000260,2025-01-26T20:25:00,S03,M001157,store,credit_card,110,0,,false
T000261,2025-01-26T14:40:00,S03,M000717,store,credit_card,100,0,,false
T000262,2025-01-26T11:24:00,S04,M000001,store,credit_card,110,0,,false
T000263,2025-01-26T16:56:00,S05,,store,line_pay,2836,139,,false
T000264,2025-01-26T17:08:00,S06,M000617,store,cash,160,0,,false
T000265,2025-01-26T12:20:00,S06,M000594,store,cash,355,0,,false
T000266,2025-01-26T22:09:00,S99,M000170,online,mobile_payment,180,0,,false
T000267,2025-01-26T20:15:00,S99,M001186,online,line_pay,95,0,,false
T000268,2025-01-27T12:21:00,S01,M000644,store,cash,365,0,,false
T000269,2025-01-27T19:47:00,S01,M000773,store,credit_card,285,0,,false
T000270,2025-01-27T18:37:00,S01,,store,cash,1994,56,,false
T000271,2025-01-27T20:34:00,S03,M000458,store,line_pay,180,0,,false
T000272,2025-01-27T15:28:00,S03,M000406,store,credit_card,155,0,,false
T000273,2025-01-27T19:02:00,S03,M000589,store,cash,35,0,,false
T000274,2025-01-27T11:07:00,S03,M001023,store,line_pay,185,0,,false
T000275,2025-01-27T19:08:00,S03,M000823,store,cash,185,0,,false
T000276,2025-01-27T20:50:00,S05,,store,credit_card,960,0,,false
T000277,2025-01-27T19:16:00,S06,M000845,store,line_pay,195,0,,false
T000278,2025-01-27T12:45:00,S99,,online,credit_card,1482,78,,false
T000279,2025-01-28T20:46:00,S01,M000884,store,credit_card,455,0,,false
T000280,2025-01-28T15:31:00,S01,M000723,store,credit_card,455,0,,false
T000281,2025-01-28T19:06:00,S01,,store,credit_card,1225,0,,false
T000282,2025-01-28T15:24:00,S02,M000347,store,cash,100,0,,false
T000283,2025-01-28T18:39:00,S02,M000699,store,credit_card,860,0,,false
T000284,2025-01-28T12:16:00,S03,M001046,store,credit_card,160,0,,false
T000285,2025-01-28T19:25:00,S03,M000195,store,credit_card,110,0,,false
T000286,2025-01-28T20:55:00,S03,M000513,store,credit_card,110,0,,false
T000287,2025-01-28T17:52:00,S03,M001145,store,line_pay,110,0,,false
T000288,2025-01-28T17:50:00,S03,M000974,store,cash,180,0,,false
T000289,2025-01-28T15:04:00,S06,M000130,store,line_pay,125,0,,false
T000290,2025-01-28T18:02:00,S06,M000886,store,cash,365,0,,false
T000291,2025-01-29T11:15:00,S01,M001177,store,credit_card,175,0,,false
T000292,2025-01-29T17:21:00,S01,M001007,store,line_pay,1480,0,,false
T000293,2025-01-29T19:37:00,S01,M000743,store,line_pay,450,0,,false
T000294,2025-01-29T12:05:00,S01,M000999,store,line_pay,445,0,,false
T000295,2025-01-29T19:44:00,S01,,store,mobile_payment,2530,0,,false
T000296,2025-01-29T21:39:00,S02,M001048,store,cash,230,0,,false
T000297,2025-01-29T19:25:00,S02,,store,line_pay,3526,34,,false
T000298,2025-01-29T21:58:00,S02,,store,cash,1310,0,,false
T000299,2025-01-29T18:34:00,S03,M000937,store,credit_card,125,0,,false
T000300,2025-01-29T20:17:00,S03,M000486,store,cash,1210,0,,false
T000301,2025-01-29T21:48:00,S04,M000147,store,line_pay,880,0,,false
T000302,2025-01-29T15:16:00,S05,M000136,store,credit_card,110,0,,false
T000303,2025-01-29T20:29:00,S05,,store,cash,1675,0,,false
T000304,2025-01-29T20:05:00,S06,,store,credit_card,2504,116,,false
T000305,2025-01-30T18:49:00,S01,M000291,store,credit_card,110,0,,false
T000306,2025-01-30T18:48:00,S01,M001029,store,credit_card,2150,0,,false
T000307,2025-01-30T21:53:00,S01,,store,credit_card,1840,0,,false
T000308,2025-01-30T19:12:00,S02,M000530,store,mobile_payment,1140,0,,false
T000309,2025-01-30T17:01:00,S03,M001106,store,cash,160,0,,false
T000310,2025-01-30T20:49:00,S03,M000903,store,credit_card,145,0,,false
T000311,2025-01-30T20:35:00,S03,M000035,store,credit_card,175,0,,false
T000312,2025-01-30T18:37:00,S03,M000620,store,cash,1500,0,,false
T000313,2025-01-30T15:36:00,S03,,store,credit_card,2477,83,,false
T000314,2025-01-30T12:03:00,S04,M000526,store,cash,1679,0,,false
T000315,2025-01-30T20:40:00,S04,M001045,store,cash,1275,0,,false
T000316,2025-01-30T20:57:00,S05,M000894,store,cash,1050,0,,false
T000317,2025-01-30T21:17:00,S05,M000827,store,mobile_payment,390,0,,false
T000318,2025-01-30T15:10:00,S05,,store,line_pay,900,0,,false
T000319,2025-01-30T21:04:00,S05,,store,cash,1640,0,,false
T000320,2025-01-30T12:51:00,S06,M000255,store,credit_card,160,0,,false
T000321,2025-01-30T15:52:00,S06,,store,cash,2254,106,,false
T000322,2025-01-30T12:02:00,S99,M000457,online,line_pay,550,0,,false
T000323,2025-01-30T09:56:00,S99,,online,credit_card,755,0,,false
T000324,2025-01-31T17:58:00,S02,M000806,store,credit_card,175,0,,false
T000325,2025/01/31 20:18,S02,M000965,store,cash,1090,0,,false
T000326,2025-01-31T12:28:00,S02,,store,credit_card,2035,0,,false
T000327,2025-01-31T20:43:00,S03,M000520,store,credit_card,110,0,,false
T000328,2025-01-31T20:40:00,S03,M000025,store,credit_card,1060,0,,false
T000329,2025-01-31T18:05:00,S04,,store,credit_card,1060,0,,false
T000330,2025-01-31T19:18:00,S05,M000674,store,cash,290,0,,false
T000331,2025-01-31T18:20:00,S05,M000599,store,credit_card,1030,0,,false
T000332,2025-01-31T18:41:00,S06,M000617,store,cash,155,0,,false
T000333,2025-01-31T21:34:00,S06,M000390,store,mobile_payment,110,0,,false
T000334,2025-01-31T20:06:00,S99,M000812,online,credit_card,95,0,,false
T000335,2025-02-01T14:53:00,S01,M001074,store,cash,500,0,,false
T000336,2025-02-01T17:50:00,S01,M001088,store,cash,415,0,,false
T000337,2025-02-01T16:47:00,S01,M000258,store,credit_card,360,0,,false
T000338,2025-02-01T19:50:00,S01,M000630,store,cash,1070,0,,false
T000339,2025-02-01T14:12:00,S03,M000887,store,cash,180,0,,false
T000340,2025-02-01T15:45:00,S03,M001157,store,line_pay,110,0,,false
T000341,2025-02-01T20:42:00,S04,M000771,store,credit_card,175,0,,false
T000342,2025-02-01T19:13:00,S04,M000885,store,cash,1479,0,,false
T000343,2025-02-01T15:33:00,S04,,store,cash,2004,96,,false
T000344,2025-02-01T17:09:00,S04,,store,credit_card,849,26,,false
T000345,2025-02-01T20:41:00,S04,,store,mobile_payment,-140,0,,true
T000346,2025-02-01T14:13:00,S05,M000137,store,cash,95,0,,false
T000347,2025-02-01T20:15:00,S06,M001043,store,mobile_payment,540,0,,false
T000348,2025-02-02T12:59:00,S01,M000858,store,credit_card,405,0,,false
T000349,2025-02-02T17:44:00,S01,M000581,store,cash,390,0,,false
T000350,2025-02-02T19:48:00,S01,M001023,store,credit_card,1865,0,,false
T000351,2025-02-02T11:09:00,S01,,store,line_pay,1960,0,,false
T000352,2025-02-02T12:59:00,S03,M001092,store,mobile_payment,175,0,,false
T000353,2025-02-02T16:47:00,S03,M001065,store,credit_card,160,0,,false
T000354,2025-02-02T20:15:00,S03,,store,cash,480,0,,false
T000355,2025-02-02T20:52:00,S03,,store,line_pay,1625,85,,false
T000356,2025-02-02T12:51:00,S04,M000719,store,line_pay,1600,0,,false
T000357,2025-02-02T14:11:00,S04,,store,mobile_payment,1598,122,,false
T000358,2025-02-02T16:24:00,S05,M000359,store,credit_card,325,0,,false
T000359,2025-02-02T16:47:00,S05,,store,credit_card,2300,0,,false
T000360,2025-02-02T19:23:00,S05,,store,cash,1830,0,,false
T000361,2025-02-02T19:36:00,S06,,store,line_pay,2270,0,,false
T000362,2025-02-02T22:28:00,S99,M000809,online,cash,110,0,,false
T000363,2025-02-03T21:16:00,S01,M000612,store,credit_card,1065,0,,false
T000364,2025-02-03T18:14:00,S01,M000139,store,mobile_payment,465,0,,false
T000365,2025-02-03T19:14:00,S01,M000491,store,mobile_payment,420,0,,false
T000366,2025/02/03 21:36,S01,,store,cash,860,0,,false
T000367,2025-02-03T17:13:00,S02,,store,line_pay,480,0,,false
T000368,2025-02-03T15:59:00,S03,M000974,store,credit_card,70,0,,false
T000369,2025-02-03T21:06:00,S04,M000718,store,cash,690,0,,false
T000370,2025-02-03T21:16:00,S04,,store,credit_card,2226,144,,false
T000371,2025-02-03T17:04:00,S05,,store,credit_card,1940,0,,false
T000372,2025-02-03T20:06:00,S99,M000614,online,credit_card,785,0,,false
T000373,2025-02-03T09:06:00,S99,M000134,online,credit_card,790,0,,false
T000374,2025-02-04T19:32:00,S01,M001014,store,credit_card,345,0,,false
T000375,2025-02-04T21:22:00,S01,,store,credit_card,1400,0,,false
T000376,2025-02-04T18:38:00,S03,M000403,store,cash,125,0,,false
T000377,2025-02-04T12:29:00,S03,M000089,store,credit_card,175,0,,false
T000378,2025-02-04T21:02:00,S03,M000106,store,line_pay,105,0,,false
