txn_id,sku,qty,unit_price,line_amount
T000020,P-P023,1,260,260
T000020,P-L004,3,160,480
T000020,P-F001,2,65,130
T000021,P-P019,2,120,240
T000021,P-P005,1,340,340
T000021,P-L019,1,110,110
T000021,P-G003,1,380,380
T000021,P-H021,1,580,580
T000021,P-P028,1,200,200
T000022,P-L004,2,160,320
T000022,P-L019,1,110,110
T000022,P-L021,1,90,90
T000022,P-P012,1,180,180
T000022,P-P013,2,150,300
T000022,P-L021,1,90,90
T000023,P-P019,1,120,120
T000023,P-F016,1,110,110
T000023,P-L021,1,90,90
T000023,P-F006,1,320,320
T000023,P-F019,3,140,420
T000023,P-F012,2,130,260
T000023,P-F001,1,65,65
T000024,P-F019,2,140,280
T000024,P-F001,1,65,65
T000025,P-F014,2,95,190
T000025,P-F016,1,110,110
T000026,P-H006,1,1080,1080
T000026,P-H001,1,680,680
T000026,P-F005,1,150,150
T000026,P-L009,1,280,280
T000026,P-L003,1,150,150
T000026,P-F016,1,110,110
T000027,P-F012,2,130,260
T000027,P-P013,3,150,450
T000027,P-F018,1,180,180
T000027,P-L003,2,150,300
T000027,P-H025,1,480,480
T000027,P-F012,1,130,130
T000028,P-H010,1,520,520
T000028,P-P013,2,150,300
T000028,P-L001,1,260,260
T000028,P-P024,1,540,540
T000028,P-P003,1,780,780
T000028,P-P006,1,250,250
T000029,P-F010,1,75,75
T000029,P-H001,1,680,680
T000029,P-H004,1,560,560
T000029,P-P015,1,220,220
T000029,P-P020,1,350,350
T000029,P-L010,1,240,240
T000030,P-F006,1,320,320
T000030,P-F007,1,90,90
T000030,P-H002,1,420,420
T000030,P-L019,1,110,110
T000030,P-P024,1,540,540
T000030,P-P019,3,120,360
T000031,P-L007,1,320,320
T000031,P-F015,1,260,260
T000031,P-P019,1,120,120
T000031,P-G009,1,460,460
T000031,P-H017,1,640,640
T000031,P-L008,1,450,450
T000032,P-G006,1,560,560
T000032,P-P014,1,320,320
T000032,P-L022,1,160,160
T000032,P-F007,1,90,90
T000032,P-L009,1,280,280
T000032,P-F014,3,95,285
T000032,P-G006,1,560,560
T000033,P-F011,1,380,380
T000033,P-F011,1,380,380
T000033,P-F007,1,90,90
T000033,P-G010,1,1080,1080
T000033,P-P007,1,290,290
T000033,P-L020,1,190,190
T000034,P-H015,1,450,450
T000034,P-L009,1,280,280
T000034,P-P011,1,320,320
T000034,P-F003,2,35,70
T000035,P-L019,1,110,110
T000036,P-P024,1,540,540
T000036,P-L005,3,180,540
T000036,P-P028,1,200,200
T000036,P-F016,2,110,220
T000037,P-F003,2,35,70
T000038,P-P019,1,120,120
T000038,P-F003,3,35,105
T000038,P-P012,2,180,360
T000038,P-L005,2,180,360
T000038,P-P027,1,220,220
T000039,P-F001,1,65,65
T000039,P-F014,1,95,95
T000040,P-F007,1,90,90
T000040,P-F006,1,320,320
T000040,P-F007,1,90,90
T000040,P-L012,1,460,460
T000040,P-H025,1,480,480
T000040,P-G006,1,560,560
T000041,P-F011,1,380,380
T000041,P-F010,1,75,75
T000041,P-F011,1,380,380
T000041,P-P003,1,780,780
T000041,P-P015,2,220,440
T000041,P-F019,1,140,140
T000042,P-H017,1,640,640
T000042,P-P001,1,260,260
T000042,P-P019,1,120,120
T000043,P-H004,1,560,560
T000043,P-H005,1,380,380
T000043,P-H002,1,420,420
T000043,P-P005,1,340,340
T000043,P-G007,1,620,620
T000043,P-H016,1,390,390
T000044,P-F006,1,320,320
T000044,P-G001,1,880,880
T000044,P-L022,2,160,320
T000044,P-P026,1,280,280
T000044,P-F005,1,150,150
T000044,P-H003,1,890,890
T000044,P-L021,3,90,270
T000044,P-F016,2,110,220
T000045,P-F010,1,75,75
T000045,P-F009,1,120,120
T000045,P-P019,3,120,360
T000045,P-G009,1,460,460
T000045,P-F017,1,220,220
T000046,P-P017,1,260,260
T000046,P-L001,1,260,260
T000046,P-F001,1,65,65
T000046,P-F014,2,95,190
T000046,P-P023,1,260,260
T000046,P-L022,1,160,160
T000047,P-L001,1,260,260
T000047,P-L021,3,90,270
T000047,P-F019,2,140,280
T000047,P-F016,1,110,110
T000047,P-F003,2,35,70
T000047,P-L003,2,150,300
T000048,P-F016,1,110,110
T000048,P-P021,1,240,240
T000048,P-L021,3,90,270
T000048,P-G002,1,480,480
T000048,P-P001,1,260,260
T000048,P-L018,3,130,390
T000049,P-L020,1,190,190
T000049,P-L019,1,110,110
T000050,P-F007,1,90,90
T000050,P-F005,1,150,150
T000050,P-H023,1,620,620
T000050,P-P011,1,320,320
T000050,P-F012,2,130,260
T000051,P-L018,3,130,390
T000051,P-P008,1,460,460
T000051,P-L010,1,240,240
T000051,P-L023,1,540,540
T000051,P-L012,1,460,460
T000051,P-P012,3,180,540
T000052,P-L019,3,110,330
T000052,P-P006,1,250,250
T000052,P-P012,2,180,360
T000052,P-P020,1,350,350
T000052,P-P013,1,150,150
T000052,P-F016,1,110,110
T000053,P-L021,1,90,90
T000054,P-F003,2,35,70
T000054,P-F016,1,110,110
T000055,P-P011,1,320,320
T000055,P-P029,1,320,320
T000055,P-F015,1,260,260
T000055,P-P001,1,260,260
T000055,P-H016,1,390,390
T000055,P-P015,1,220,220
T000056,P-G006,1,560,560
T000056,P-L004,3,160,480
T000056,P-L021,1,90,90
T000057,P-H001,1,680,680
T000057,P-L021,1,90,90
T000057,P-L017,1,620,620
T000057,P-P017,1,260,260
T000058,P-F011,1,380,380
T000058,P-P004,1,420,420
T000058,P-L001,1,260,260
T000058,P-P010,1,620,620
T000058,P-F006,1,320,320
T000058,P-P016,1,280,280
T000058,P-F017,1,220,220
T000058,P-P027,1,220,220
T000059,P-L002,1,220,220
T000059,P-F012,1,130,130
T000059,P-F001,1,65,65
T000059,P-F019,3,140,420
T000059,P-F013,3,160,480
T000059,P-F016,3,110,330
T000060,P-L022,2,160,320
T000060,P-P020,1,350,350
T000060,P-F020,1,190,190
T000060,P-P029,1,320,320
T000060,P-P021,1,240,240
T000060,P-L019,1,110,110
T000061,P-F001,1,65,65
T000061,P-L019,1,110,110
T000062,P-L019,1,110,110
T000063,P-B007,2,260,520
T000063,P-B009,1,240,240
T000063,P-B010,1,220,220
T000064,P-F014,2,95,190
T000064,P-L021,1,90,90
T000064,P-F019,1,140,140
T000065,P-F016,3,110,330
T000065,P-P028,1,200,200
T000065,P-L021,1,90,90
T000066,P-L007,1,320,320
T000066,P-L021,2,90,180
T000066,P-F001,2,65,130
T000066,P-P015,1,220,220
T000066,P-L018,1,130,130
T000066,P-F003,3,35,105
T000067,P-F016,1,110,110
T000068,P-P028,1,200,200
T000068,P-F016,1,110,110
T000068,P-F003,3,35,105
T000069,P-P002,1,380,380
T000069,P-L004,1,160,160
T000069,P-P026,2,280,560
T000069,P-P019,1,120,120
T000069,P-L021,1,90,90
T000070,P-F011,1,380,380
T000070,P-P024,1,540,540
T000070,P-P015,1,220,220
T000070,P-L022,2,160,320
T000070,P-F006,1,320,320
T000070,P-G006,1,560,560
T000070,P-L020,1,190,190
T000070,P-P026,1,280,280
T000071,P-P010,1,620,620
T000071,P-H015,2,450,900
T000071,P-P005,1,340,340
T000071,P-P010,1,620,620
T000071,P-P016,1,280,280
T000071,P-F017,1,220,220
T000072,P-F016,1,110,110
T000073,P-F001,1,65,65
T000073,P-L019,1,110,110
T000074,P-B004,1,599,599
T000074,P-B007,1,260,260
T000074,P-B008,1,380,380
T000074,P-B010,1,220,220
T000075,P-F011,1,380,380
T000075,P-F009,1,120,120
T000075,P-F011,1,380,380
T000075,P-L004,1,160,160
T000075,P-L021,3,90,270
T000075,P-F016,1,110,110
T000076,P-H016,1,390,390
T000076,P-P025,1,480,480
T000076,P-P013,2,150,300
T000076,P-P025,1,480,480
T000076,P-G006,1,560,560
T000076,P-F014,1,95,95
T000077,P-F019,1,140,140
T000077,P-L020,1,190,190
T000077,P-F001,3,65,195
T000077,P-P021,1,240,240
T000077,P-L009,1,280,280
T000077,P-P012,3,180,540
T000078,P-L004,3,160,480
T000078,P-F003,3,35,105
T000078,P-L018,3,130,390
T000078,P-F014,1,95,95
T000079,P-L021,1,90,90
T000079,P-F003,1,35,35
T000080,P-F016,1,110,110
T000080,P-F014,2,95,190
T000080,P-L021,1,90,90
T000081,P-P016,1,280,280
T000081,P-L010,1,240,240
T000081,P-P005,1,340,340
T000081,P-L018,2,130,260
T000082,P-H015,1,450,450
T000082,P-P026,1,280,280
T000082,P-L018,2,130,260
T000082,P-L022,1,160,160
T000082,P-P026,1,280,280
T000082,P-F017,1,220,220
T000083,P-F001,1,65,65
T000083,P-L021,1,90,90
T000084,P-B004,1,599,599
T000084,P-B009,1,240,240
T000084,P-B007,1,260,260
T000084,P-B005,1,320,320
T000085,P-H001,1,680,680
T000085,P-F008,1,240,240
T000085,P-F008,1,240,240
T000085,P-P015,1,220,220
T000085,P-F019,1,140,140
T000085,P-L021,1,90,90
T000086,P-L024,1,420,420
T000086,P-P019,1,120,120
T000086,P-L021,1,90,90
T000086,P-P020,1,350,350
T000086,P-L019,2,110,220
T000086,P-P011,1,320,320
T000087,P-F020,1,190,190
T000087,P-L005,3,180,540
T000087,P-F016,1,110,110
T000087,P-L024,1,420,420
T000087,P-G007,1,620,620
T000087,P-P027,1,220,220
T000088,P-F015,1,260,260
T000088,P-P020,1,350,350
T000088,P-H021,1,580,580
T000088,P-P020,1,350,350
T000088,P-P019,1,120,120
T000088,P-F016,1,110,110
T000089,P-P017,1,260,260
T000089,P-L004,3,160,480
T000089,P-P028,1,200,200
T000089,P-F019,3,140,420
T000089,P-L005,1,180,180
T000089,P-P005,1,340,340
T000090,P-L010,1,240,240
T000090,P-L003,3,150,450
T000090,P-P020,1,350,350
T000090,P-P006,1,250,250
T000090,P-L023,1,540,540
T000090,P-L008,1,450,450
T000091,P-F014,1,95,95
T000092,P-F006,1,320,320
T000092,P-F011,1,380,380
T000092,P-F007,1,90,90
T000092,P-L012,1,460,460
T000092,P-F001,3,65,195
T000092,P-P029,1,320,320
T000093,P-F007,1,90,90
T000093,P-F009,1,120,120
T000093,P-P023,1,260,260
T000093,P-F013,1,160,160
T000093,P-L018,1,130,130
T000094,P-H010,1,520,520
T000094,P-L014,1,180,180
T000094,P-F001,1,65,65
T000094,P-P027,1,220,220
T000094,P-P019,1,120,120
T000094,P-F016,1,110,110
T000095,P-F010,1,75,75
T000095,P-H003,1,890,890
T000095,P-P005,1,340,340
T000095,P-L005,3,180,540
T000095,P-F020,1,190,190
T000096,P-G009,1,460,460
T000096,P-L004,1,160,160
T000096,P-L021,1,90,90
T000096,P-L005,2,180,360
T000096,P-P013,1,150,150
T000096,P-L021,3,90,270
T000097,P-L022,1,160,160
T000097,P-L004,2,160,320
T000097,P-F012,1,130,130
T000097,P-H002,1,420,420
T000097,P-H017,1,640,640
T000097,P-P015,1,220,220
T000097,P-F016,3,110,330
T000098,P-G003,1,380,380
T000098,P-F015,1,260,260
T000098,P-F003,3,35,105
T000098,P-P028,1,200,200
T000099,P-F001,1,65,65
T000099,P-F014,1,95,95
T000100,P-F016,1,110,110
T000101,P-F011,1,380,380
T000101,P-H001,1,680,680
T000101,P-L003,1,150,150
T000101,P-L004,1,160,160
T000101,P-G009,1,460,460
T000102,P-H018,1,990,990
T000102,P-L018,3,130,390
T000102,P-L020,1,190,190
T000102,P-F003,3,35,105
T000102,P-H015,1,450,450
T000102,P-L015,1,590,590
T000103,P-F019,3,140,420
T000103,P-H013,1,850,850
T000103,P-F012,3,130,390
T000103,P-F019,2,140,280
T000103,P-P014,1,320,320
T000103,P-P028,1,200,200
T000104,P-F020,1,190,190
T000104,P-L004,1,160,160
T000104,P-F016,1,110,110
T000104,P-H010,1,520,520
T000104,P-L014,2,180,360
T000104,P-F003,3,35,105
T000105,P-F001,2,65,130
T000105,P-L015,1,590,590
T000105,P-P013,2,150,300
T000105,P-L019,1,110,110
T000106,P-H004,1,560,560
T000106,P-F011,1,380,380
T000106,P-H003,1,890,890
T000106,P-P019,1,120,120
T000106,P-H016,1,390,390
T000106,P-F016,1,110,110
T000107,P-F015,1,260,260
T000107,P-L004,1,160,160
T000107,P-L013,1,380,380
T000107,P-P005,1,340,340
T000107,P-L021,1,90,90
T000107,P-F014,3,95,285
T000108,P-F011,1,380,380
T000108,P-F007,1,90,90
T000108,P-H006,1,1080,1080
T000108,P-P023,1,260,260
T000108,P-F016,1,110,110
T000108,P-L019,1,110,110
T000109,P-F014,1,95,95
T000110,P-P013,1,150,150
T000110,P-F003,1,35,35
T000110,P-F016,1,110,110
T000110,P-L019,1,110,110
T000111,P-L022,1,160,160
T000111,P-F019,1,140,140
T000111,P-F014,1,95,95
T000111,P-F001,1,65,65
T000112,P-F003,2,35,70
T000113,P-F003,2,35,70
T000114,P-F003,2,35,70
T000114,P-L021,1,90,90
T000115,P-F014,1,95,95
T000115,P-F003,1,35,35
T000116,P-P015,1,220,220
T000116,P-L019,1,110,110
T000116,P-F014,1,95,95
T000116,P-H003,1,890,890
T000116,P-F014,3,95,285
T000116,P-L008,1,450,450
T000116,P-P023,1,260,260
T000117,P-L013,1,380,380
T000117,P-L021,1,90,90
T000117,P-F014,3,95,285
T000118,P-L021,1,90,90
T000118,P-F001,1,65,65
T000119,P-P015,1,220,220
T000119,P-L019,1,110,110
T000119,P-L021,1,90,90
T000120,P-L018,2,130,260
T000120,P-P001,1,260,260
T000120,P-F016,1,110,110
T000120,P-P016,1,280,280
T000120,P-L001,1,260,260
T000120,P-F019,3,140,420
T000121,P-H012,1,480,480
T000121,P-F002,1,180,180
T000121,P-L019,1,110,110
T000121,P-F016,1,110,110
T000121,P-H007,1,520,520
T000122,P-F003,1,35,35
T000123,P-F003,2,35,70
T000124,P-L013,1,380,380
T000124,P-P021,1,240,240
T000124,P-L007,1,320,320
T000124,P-F013,2,160,320
T000124,P-F001,1,65,65
T000125,P-F001,1,65,65
T000125,P-F003,3,35,105
T000125,P-P006,1,250,250
T000125,P-P020,1,350,350
T000125,P-F015,1,260,260
T000125,P-F001,3,65,195
T000126,P-L014,1,180,180
T000126,P-L019,1,110,110
T000126,P-L018,1,130,130
T000126,P-P016,1,280,280
T000126,P-P017,1,260,260
T000126,P-F001,1,65,65
T000127,P-L021,1,90,90
T000128,P-F016,1,110,110
T000129,P-L021,1,90,90
T000129,P-F014,1,95,95
T000130,P-L022,1,160,160
T000130,P-P019,1,120,120
T000130,P-F003,3,35,105
T000131,P-F009,1,120,120
T000131,P-H005,1,380,380
T000131,P-G009,1,460,460
T000131,P-F003,2,35,70
T000131,P-F012,2,130,260
T000132,P-F006,1,320,320
T000132,P-P011,1,320,320
T000132,P-F002,3,180,540
T000132,P-P021,1,240,240
T000133,P-F016,3,110,330
T000133,P-P014,1,320,320
T000133,P-L012,1,460,460
T000134,P-L008,1,450,450
T000134,P-L022,1,160,160
T000134,P-F016,1,110,110
T000134,P-H004,1,560,560
T000134,P-P014,1,320,320
T000134,P-F020,1,190,190
T000134,P-L019,1,110,110
T000135,P-F003,2,35,70
T000135,P-L021,1,90,90
T000136,P-L022,1,160,160
T000136,P-F016,1,110,110
T000137,P-H004,1,560,560
T000137,P-P016,1,280,280
T000137,P-F016,3,110,330
T000137,P-P014,1,320,320
T000138,P-F009,1,120,120
T000138,P-P005,1,340,340
T000138,P-P013,2,150,300
T000138,P-L019,1,110,110
T000138,P-F005,1,150,150
T000138,P-L009,1,280,280
T000138,P-L008,1,450,450
T000138,P-F001,2,65,130
T000139,P-F003,1,35,35
T000139,P-F016,1,110,110
T000140,P-F001,1,65,65
T000140,P-L019,1,110,110
T000141,P-F016,1,110,110
T000142,P-H006,1,1080,1080
T000142,P-F006,1,320,320
T000142,P-F006,1,320,320
T000142,P-P024,1,540,540
T000142,P-L021,2,90,180
T000142,P-P011,1,320,320
T000143,P-F003,1,35,35
T000143,P-F016,1,110,110
T000144,P-F003,2,35,70
T000144,P-F003,3,35,105
T000145,P-H009,1,780,780
T000145,P-P012,2,180,360
T000145,P-L020,1,190,190
T000145,P-F019,3,140,420
T000145,P-H015,1,450,450
T000145,P-F015,1,260,260
T000146,P-H012,1,480,480
T000146,P-F014,3,95,285
T000146,P-F016,1,110,110
T000147,P-F016,2,110,220
T000147,P-F001,1,65,65
T000147,P-F014,1,95,95
T000148,P-F007,1,90,90
T000148,P-H006,1,1080,1080
T000148,P-G009,1,460,460
T000148,P-P013,2,150,300
T000148,P-L019,1,110,110
T000149,P-F001,3,65,195
T000150,P-F020,1,190,190
T000150,P-P019,1,120,120
T000150,P-F016,1,110,110
T000150,P-F014,1,95,95
T000151,P-F020,1,190,190
T000151,P-L021,1,90,90
T000151,P-F001,2,65,130
T000152,P-L019,1,110,110
T000152,P-L023,1,540,540
T000152,P-P016,1,280,280
T000152,P-L021,3,90,270
T000153,P-F006,1,320,320
T000153,P-L013,1,380,380
T000153,P-H013,1,850,850
T000153,P-P002,1,380,380
T000154,P-H012,1,480,480
T000154,P-F012,3,130,390
T000155,P-H010,1,520,520
T000155,P-P002,1,380,380
T000155,P-P001,1,260,260
T000155,P-L016,1,880,880
T000155,P-L002,1,220,220
T000155,P-P013,3,150,450
T000156,P-F016,1,110,110
T000157,P-F001,2,65,130
T000157,P-L019,1,110,110
T000157,P-F014,1,95,95
T000158,P-H004,1,560,560
T000158,P-H004,1,560,560
T000158,P-P020,1,350,350
T000158,P-H013,1,850,850
T000158,P-P029,1,320,320
T000159,P-H024,1,750,750
T000159,P-P015,1,220,220
T000159,P-L018,1,130,130
T000159,P-F003,1,35,35
T000160,P-F003,3,35,105
T000161,P-L021,1,90,90
T000162,P-L007,1,320,320
T000162,P-P024,1,540,540
T000162,P-L012,1,460,460
T000162,P-F013,1,160,160
T000163,P-F010,1,75,75
T000163,P-F005,1,150,150
T000163,P-F019,1,140,140
T000163,P-F017,1,220,220
T000163,P-F002,2,180,360
T000164,P-G009,1,460,460
T000164,P-P007,1,290,290
T000164,P-F013,3,160,480
T000164,P-F018,3,180,540
T000164,P-H024,1,750,750
T000164,P-F013,3,160,480
T000165,P-L019,3,110,330
T000165,P-L021,1,90,90
T000166,P-P001,1,260,260
T000166,P-L020,1,190,190
T000166,P-L007,1,320,320
T000166,P-P003,1,780,780
T000166,P-F003,2,35,70
T000166,P-L002,1,220,220
T000167,P-P013,1,150,150
T000167,P-L019,3,110,330
T000167,P-P026,1,280,280
T000167,P-F016,1,110,110
T000168,P-L019,1,110,110
T000169,P-F003,3,35,105
T000170,P-P008,1,460,460
T000170,P-L010,1,240,240
T000170,P-L004,1,160,160
T000170,P-F001,1,65,65
T000171,P-F009,1,120,120
T000171,P-F007,1,90,90
T000171,P-F007,1,90,90
T000171,P-L020,1,190,190
T000171,P-F018,1,180,180
T000171,P-L018,1,130,130
T000172,P-F011,1,380,380
T000172,P-H005,1,380,380
T000172,P-P013,2,150,300
T000172,P-H017,1,640,640
T000172,P-P028,1,200,200
T000173,P-L021,2,90,180
T000173,P-F014,1,95,95
T000174,P-P003,1,780,780
T000174,P-L010,1,240,240
T000174,P-L020,1,190,190
T000174,P-P023,1,260,260
T000174,P-H018,1,990,990
T000174,P-P016,1,280,280
T000175,P-L019,1,110,110
T000176,P-H012,1,480,480
T000176,P-L021,3,90,270
T000176,P-L019,1,110,110
T000177,P-P005,1,340,340
T000177,P-L003,3,150,450
T000177,P-F003,3,35,105
T000177,P-L004,3,160,480
T000177,P-L018,1,130,130
T000177,P-L019,1,110,110
T000178,P-L021,2,90,180
T000178,P-L018,1,130,130
T000178,P-F001,1,65,65
T000179,P-H015,1,450,450
T000179,P-P021,1,240,240
T000179,P-F001,3,65,195
T000180,P-F014,1,95,95
T000181,P-L021,1,90,90
T000181,P-F001,1,65,65
T000182,P-H025,1,480,480
T000182,P-P004,1,420,420
T000182,P-L022,1,160,160
T000183,P-L004,3,160,480
T000183,P-F014,1,95,95
T000184,P-L019,1,110,110
T000185,P-L021,1,90,90
T000185,P-F003,1,35,35
T000186,P-P004,1,420,420
T000186,P-L020,1,190,190
T000186,P-F016,1,110,110
T000186,P-L006,1,680,680
T000186,P-L008,1,450,450
T000186,P-L001,1,260,260
T000187,P-F014,2,95,190
T000188,P-H003,1,890,890
T000188,P-F008,1,240,240
T000188,P-F005,1,150,150
T000188,P-P003,1,780,780
T000188,P-P029,1,320,320
T000188,P-L005,1,180,180
T000189,P-P002,1,380,380
T000189,P-F019,2,140,280
T000189,P-L004,2,160,320
T000189,P-F015,1,260,260
T000189,P-P012,1,180,180
T000189,P-L018,1,130,130
T000190,P-F003,3,35,105
T000190,P-F014,1,95,95
T000190,P-L019,1,110,110
T000191,P-F001,1,65,65
T000191,P-F003,1,35,35
T000192,P-F014,1,95,95
T000193,P-F003,2,35,70
T000193,P-L019,1,110,110
T000194,P-P006,1,250,250
T000194,P-L022,2,160,320
T000194,P-L012,1,460,460
T000194,P-L003,1,150,150
T000194,P-L022,1,160,160
T000194,P-P028,1,200,200
T000195,P-F016,1,110,110
T000196,P-F004,1,55,55
T000196,P-F005,1,150,150
T000196,P-P020,1,350,350
T000196,P-F013,3,160,480
T000196,P-F011,1,380,380
T000196,P-P018,1,580,580
T000196,P-L004,2,160,320
T000196,P-F019,1,140,140
T000197,P-L021,-1,90,-90
T000198,P-F005,1,150,150
T000198,P-F006,1,320,320
T000198,P-F007,1,90,90
T000198,P-G003,1,380,380
T000198,P-P006,1,250,250
T000198,P-L002,1,220,220
T000199,P-F003,3,35,105
T000199,P-F001,1,65,65
T000200,P-P011,1,320,320
T000200,P-L018,1,130,130
T000200,P-L007,1,320,320
T000201,P-F003,2,35,70
T000201,P-P019,3,120,360
T000201,P-P010,1,620,620
T000202,P-L022,2,160,320
T000202,P-F014,1,95,95
T000203,P-F016,1,110,110
T000204,P-F003,2,35,70
T000205,P-F003,1,35,35
T000205,P-F016,1,110,110
T000206,P-H017,1,640,640
T000206,P-L019,2,110,220
T000206,P-P029,1,320,320
T000206,P-L018,1,130,130
T000207,P-P022,1,380,380
T000207,P-F017,1,220,220
T000207,P-L019,1,110,110
T000207,P-F003,2,35,70
T000208,P-F010,1,75,75
T000208,P-F011,1,380,380
T000208,P-H005,1,380,380
T000208,P-P001,1,260,260
T000208,P-L020,1,190,190
T000208,P-F003,2,35,70
T000209,P-L019,1,110,110
T000210,P-L014,2,180,360
T000210,P-P023,1,260,260
T000210,P-F014,1,95,95
T000210,P-L013,1,380,380
T000210,P-L003,1,150,150
T000210,P-F003,3,35,105
T000211,P-P013,1,150,150
T000211,P-F016,1,110,110
T000211,P-F001,2,65,130
T000212,P-P004,1,420,420
T000212,P-L022,3,160,480
T000212,P-L019,1,110,110
T000212,P-F001,1,65,65
T000213,P-H002,1,420,420
T000213,P-F004,1,55,55
T000213,P-L008,1,450,450
T000213,P-F014,1,95,95
T000213,P-P020,1,350,350
T000214,P-P003,1,780,780
T000214,P-F015,1,260,260
T000214,P-F002,3,180,540
T000214,P-H025,1,480,480
T000214,P-L008,1,450,450
T000214,P-G006,1,560,560
T000215,P-H013,-1,850,-850
T000216,P-H012,1,480,480
T000216,P-H007,1,520,520
T000217,P-F008,1,240,240
T000217,P-F010,1,75,75
T000217,P-P006,1,250,250
T000217,P-P005,1,340,340
T000217,P-P008,1,460,460
T000218,P-F010,1,75,75
T000218,P-F004,1,55,55
T000218,P-H005,1,380,380
T000218,P-L009,1,280,280
T000218,P-L012,1,460,460
T000218,P-P001,1,260,260
T000219,P-F003,2,35,70
T000220,P-F016,1,110,110
T000220,P-F001,1,65,65
T000221,P-F004,1,55,55
T000221,P-F002,2,180,360
T000221,P-L015,1,590,590
T000221,P-P006,1,250,250
T000221,P-H006,1,1080,1080
T000221,P-P019,3,120,360
T000221,P-L002,1,220,220
T000221,P-G002,1,480,480
T000222,P-F004,1,55,55
T000222,P-H006,1,1080,1080
T000222,P-L023,1,540,540
T000222,P-P029,1,320,320
T000222,P-P025,1,480,480
T000223,P-L011,1,520,520
T000223,P-P008,1,460,460
T000223,P-L009,1,280,280
T000223,P-F018,2,180,360
T000223,P-L018,1,130,130
T000223,P-F014,1,95,95
T000224,P-P009,1,890,890
T000224,P-L004,3,160,480
T000224,P-P013,2,150,300
T000224,P-P011,1,320,320
T000224,P-F016,1,110,110
T000224,P-H016,1,390,390
T000225,P-F005,1,150,150
T000225,P-H005,1,380,380
T000225,P-F010,1,75,75
T000225,P-L003,1,150,150
T000225,P-H017,1,640,640
T000225,P-L021,2,90,180
T000226,P-P013,3,150,450
T000226,P-H015,1,450,450
T000226,P-H025,1,480,480
T000226,P-P022,1,380,380
T000226,P-L024,1,420,420
T000226,P-L003,2,150,300
T000227,P-F003,1,35,35
T000227,P-F014,1,95,95
T000228,P-F003,2,35,70
T000229,P-F003,2,35,70
T000229,P-F003,1,35,35
T000229,P-L021,1,90,90
T000230,P-F004,1,55,55
T000230,P-F006,1,320,320
T000230,P-F013,1,160,160
T000230,P-F020,1,190,190
T000230,P-F014,2,95,190
T000231,P-H012,1,480,480
T000231,P-F013,3,160,480
